sample,seg,corpus_name,family,primary,usable,zplane,n_pos,n_neg,annotated_frac_of_joint,auc_A,auc_B,auc_fused,best_single,gain,delong_z,delong_p_one_sided,fpr50_A,fpr50_B,fpr50_fused,fused_thr_1pct_fpr
PHerc0139,20250108000004-w029_2025010827,pherc0139-w016,aligned,True,False,z=10 of 21,0,0,0.0,,,,,,,,,,,
PHerc0139,20250108000005-w030_2025010818,pherc0139-w017,aligned,True,True,z=10 of 21,60281,129382,0.0494,0.882,0.885,0.9014,B,0.0164,28.397,1.113e-177,0.0404,0.0556,0.0411,2.4663
PHerc0139,20260115000000-w044_2026011522,pherc0139-w028,aligned,True,False,z=10 of 21,0,0,0.0,,,,,,,,,,,
PHerc0139,20260126000000-w045_2026012619,pherc0139-w029,aligned,True,False,z=10 of 21,0,0,0.0,,,,,,,,,,,
PHerc0139,20260317000000-w035_2026031718,pherc0139-w035,aligned,True,True,z=10 of 21,81504,162127,0.0869,0.9018,0.9024,0.9263,B,0.0239,55.457,0.0,0.0196,0.0139,0.0094,1.6866
PHerc0139,20260302000000-w039_2026030210,pherc0139-w039,aligned,True,True,z=10 of 21,44615,91527,0.0322,0.8995,0.9049,0.9328,B,0.0279,42.799,0.0,0.0383,0.0378,0.0289,4.0233
PHerc0139,20250831000000-w040_2025083102,pherc0139-w040,aligned,True,True,z=10 of 21,75777,75639,0.0344,0.867,0.8866,0.9027,B,0.0162,26.338,3.541e-153,0.0285,0.0219,0.0173,2.624
PHerc0139,20260108000000-w041_2026010816,pherc0139-w041,aligned,True,True,z=10 of 21,46467,66347,0.0254,0.8814,0.9042,0.9078,B,0.0037,5.199,1.002e-07,0.0251,0.008,0.0086,1.561
PHerc0139,20260112000000-w043_2026011217,pherc0139-w043,aligned,True,False,z=10 of 21,0,0,0.0,,,,,,,,,,,
PHerc0814,20260226000000-46527_2um_try2,pherc0814-46527,aligned,True,True,z=10 of 21,14905,39076,0.0732,0.9806,0.9026,0.9687,A,-0.0119,-23.538,1.0,0.0005,0.0301,0.0006,2.0426
PHerc1667,20240304141531-w013_20240304141531_flatboi,pherc1667-w013,aligned,True,True,z=10 of 21,157490,338869,0.0185,0.9633,0.7488,0.9522,A,-0.0111,-77.649,1.0,0.0026,0.0737,0.0219,2.6538
PHerc1667,20240304144031-w018_20240304144031_flatboi,pherc1667-w018,aligned,True,True,z=10 of 21,641498,2153359,0.0867,0.9296,0.7178,0.9134,A,-0.0161,-139.047,1.0,0.007,0.0941,0.0284,2.2681
PHerc1667,20240304161941-w023_20240304161941_flatboi,pherc1667-w023,aligned,True,True,z=10 of 21,254278,757003,0.0331,0.8858,0.7614,0.889,A,0.0032,12.361,2.122e-35,0.0256,0.078,0.0527,2.6626
PHerc1667,20251208130119-w028_20251208130119156_flatboi,pherc1667-w028,aligned,True,True,z=10 of 21,48837,130581,0.0222,0.9241,0.7516,0.9145,A,-0.0097,-19.407,1.0,0.0226,0.0748,0.0402,2.4182
PHerc1667,20251212185248-w029_20251212185248662_flatboi,pherc1667-w029,aligned,True,True,z=10 of 21,60450,132571,0.0239,0.9023,0.7798,0.8951,A,-0.0072,-14.997,1.0,0.0497,0.0927,0.0582,2.6953
PHerc1667,20251223230000-w031_2025122323_flatboi,pherc1667-w031,aligned,True,True,z=10 of 21,127494,353903,0.066,0.8824,0.6846,0.8651,A,-0.0173,-48.513,1.0,0.0196,0.1836,0.0441,2.0739
PHercParis4,20230702185753,phercparis4-w01,aligned,True,True,z=10 of 21,271691,718651,0.068,0.9605,0.9658,0.9735,B,0.0077,60.14,0.0,0.0072,0.0065,0.0052,2.4322
PHercParis4,20231031143852,phercparis4-w02,aligned,True,True,z=10 of 21,249840,800975,0.0619,0.953,0.9688,0.9772,B,0.0084,55.371,0.0,0.0046,0.0019,0.003,2.4055
PHercParis4,20231106155351,phercparis4-w03,aligned,True,True,z=10 of 21,487118,894287,0.0666,0.9352,0.9495,0.9611,B,0.0116,86.814,0.0,0.0104,0.0074,0.0063,2.4137
PHercParis4,20231012184424,phercparis4-w05,aligned,True,True,z=10 of 21,838160,2916072,0.1266,0.9498,0.9438,0.9631,A,0.0133,161.072,0.0,0.0045,0.003,0.0026,1.3638
PHercParis4,20231210121321,phercparis4-w06,aligned,True,True,z=10 of 21,461779,1045765,0.1027,0.9304,0.939,0.9485,B,0.0094,64.682,0.0,0.0119,0.0088,0.0083,2.5546
PHercParis4,20231007101619,phercparis4-w07,aligned,True,True,z=10 of 21,539280,1180358,0.0439,0.9162,0.9343,0.9439,B,0.0097,69.403,0.0,0.014,0.01,0.0099,2.4581
PHerc0139,20260317000000-w035_2026031718,w035,native9,False,True,z=14 of 28,82020,163568,0.0876,0.8763,0.8773,0.9014,B,0.0241,52.574,0.0,0.0342,0.0309,0.0237,2.603
PHerc0139,20260302000000-w039_2026030210,w039,native9,False,True,z=14 of 28,44918,92749,0.0325,0.8953,0.891,0.9271,A,0.0318,53.501,0.0,0.0386,0.0455,0.0348,4.021
PHerc0139,20250831000000-w040_2025083102,w040,native9,False,True,z=14 of 28,76387,77779,0.035,0.8375,0.8568,0.8727,B,0.0159,24.766,1.053e-135,0.0573,0.0423,0.0368,2.9217
PHerc0139,20260108000000-w041_2026010816,w041,native9,False,True,z=14 of 28,46712,67110,0.0256,0.8587,0.8896,0.8867,B,-0.0029,-4.05,1.0,0.0382,0.0087,0.0118,1.851
PHerc0139,20260115000000-w044_2026011522,w044,native9,False,False,z=14 of 28,0,0,0.0,,,,,,,,,,,
